"WordMain","phonetic","Romanization","IPA","Sentence","MonoDefinition","plainURLdontImport","English625Word","Tags"
"掃除する","そうじする","sōji suru","soːdʑi su͍ꜜɽu","それほど広い家でもないのだが、家中を掃除すると時間がかかる。それでもきれいになると気分がすっきりして気持ちがいい。","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTP-YDHNwDGFWqVZ9BTk_kLBaqEVtwb-ulc7w&s","clean","Verbs"
"犬","いぬ","inu","inu","彼女は吠える犬を怖がる。","","https://www.nylabone.com/-/media/project/oneweb/nylabone/images/dog101/10-intelligent-dog-breeds/golden-retriever-tongue-out.jpg?h=430&w=710&hash=7FEB820D235A44B76B271060E03572C7","dog","Animal"
"午後","ごご","gogo","goꜜgo","出張には、今日の午後出発の予定だ。","","https://images.unsplash.com/photo-1577257107590-fc448601f16a?ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8YWZ0ZXJub29uJTIwc3VufGVufDB8fDB8fHww&fm=jpg&q=60&w=3000","afternoon","Time"
"青","あお","ao","aꜜo","台風が過ぎた明くる日は、朝から快晴で青々とした空が広がった。","","https://static.wikia.nocookie.net/colors/images/2/2f/-0000FF.png/revision/latest/thumbnail/width/360/height/360?cb=20231102222115","blue","Color"
"時計","とけい","tokei","tokei","妻に内緒で50万円の腕時計を買ってしまった。","","https://m.media-amazon.com/images/I/81os6R4wnNL.jpg","clock","Electronics"
"ドル","どる","doru","doꜜɽu͍","50ドルを日本円に直すといくらになるのだろうか。","","https://upload.wikimedia.org/wikipedia/commons/2/23/US_one_dollar_bill%2C_obverse%2C_series_2009.jpg","dollar","Society"
"空気","くうき","kūki","ku͍ꜜːkʲi","サーキュレーターを使用すると、室内の空気を循環させることができる。","","https://ih1.redbubble.net/image.381821348.8748/flat,750x,075,f-pad,750x1000,f8f8f8.jpg","air","Nature"
"ボート","ぼーと","bōto","boꜜːto","公園の池の周りには桜の木が植えられており、春になるとボートを漕いで花見を楽しむ人も多い。","","https://iqboatlifts.com/wp-content/uploads/2018/06/Yacht-vs-Boat-Whats-the-Difference-Between-the-Two-1024x571.jpg","boat","Transportation"
"閉める","しめる","shimeru","ɕimeꜜɽu","虫が入って来ないように、窓をぴったり閉めてください。","","https://o.quizlet.com/kwRnI6xXU6yAAuy69iEQBw.jpg","close","Verbs"
"扉","とびら","tobira","tobʲiɽa","私はせっかちなので、扉が閉まるまでの数秒が待てず、何度もエレベーターの「閉」ボタンを押してしまう。","","https://www.energy.gov/sites/default/files/styles/full_article_width/public/door_5481543.jpg?itok=l_TeNrgh","door","Home"
"空港","くうこう","kūkō","ku͍ːkoː","成田空港は、言わば日本の玄関であると言ってもいいだろう。","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9geLmvIWSgG3lUSPxl7fk1F9ISnRW8r0hZQ&s","airport","Location"
"体","からだ","karada","kaɽada","緑茶には体にいい成分がたくさん含まれているので、健康のために毎日飲んでいる。","","https://innerbody.imgix.net/muscular_system.png","body","Body"
"服","ふく","fuku","ɸu͍ ̥ku","来月姉夫婦に赤ちゃんが生まれる予定なので、出産祝いにベビー服をプレゼントしようと思う。","","https://img.freepik.com/free-photo/shop-clothing-clothes-shop-hanger-modern-shop-boutique_1150-8886.jpg?semt=ais_hybrid&w=740&q=80","clothing","Clothing"
"点","てん","ten","tẽɴ","合格した生徒の名前の前に点をつけて下さい。","","https://sacompassion.net/wp-content/uploads/2016/08/black-dot.jpg","dot","Misc Nouns"
"生きてい る","いきてい","iki te iru","i↓kʲi te iɽu͍","息子はまだ生きていると考えずにいられない。","","https://www.shutterstock.com/shutterstock/videos/1008766604/thumb/1.jpg?ip=x480","alive","Adjectives"
"骨","ほね","hone","hone","骨が完全にくっつくには１ヶ月くらいはかかるだろう。","","https://animalarchaeology.com/wp-content/uploads/2020/10/screenshot-1-4.png","bone","Body"
"クラブ","くらぶ","kurabu","ku͍ꜜɽabu","私たち演劇クラブは、文化祭での発表に向けて毎日練習の日々だ。その様子を全部動画で見せてしまうと当日の楽しみがなくなってしまうので、ほんの少しだけ練習風景を紹介しよう。","","https://media.newyorker.com/photos/5909601dc14b3c606c105b78/master/pass/130930_r24027.jpg","club","Location"
"動物","どうぶつ","dōbutsu","u doːbu͍tsu","世界最大の動物はシロナガスクジラで、体長約30メートル、体重は200トンを超える巨大哺乳類である。","","https://www.toughpigs.com/wp-content/uploads/2025/04/Animal-shrug.jpg","animal","Animal"
"本","ほん","hon","hõɴ","夫が居間のソファーに寝そべって本を読んでいる。","","https://img.pixers.pics/pho_wat(s3:700/FO/64/13/46/75/700_FO64134675_62ef7efe1d68ffd4430ba50b958d902a.jpg,700,698,cms:2018/10/5bd1b6b8d04b8_220x50-watermark.png,over,483,650,jpg)/wall-murals-old-book-cover-brown-paper-over-white-background.jpg.jpg","book","Home"
"コート","こーと","kōto","koꜜːto","10月も後半に入り、そろそろ寒くなってきたので、コートを出した。","","https://assets.manufactum.de/p/068/068675/68675_01.jpg/ladies-trench-coat-etaproof.jpg?profile=pdsmain_1500","coat","Clothing"
"描く","がく","kaku","kaꜜku","レオナル・ド・ダヴィンチの作品「モナ・リザ」には、優しい微笑を浮かべた女性が描かれている。","","https://www.shutterstock.com/image-vector/vector-cartoon-stick-figure-drawing-260nw-2091228340.jpg","draw","Verbs"
"アパート","あぱーと","apāto","apaꜜːto","兄は結婚するまで10年間、六畳一間のぼろアパートに住んでいた。","","https://www.apartmentguide.com/blog/wp-content/uploads/2019/09/shutterstock_2250770283-1-scaled.jpg","apartment","Location"
"瓶","びん","bin","bĩꜜɴ","海岸に漂着した小瓶の中には、3年前に海の向こうの国で書かれた手紙が入っていた。","","https://m.media-amazon.com/images/I/61sKx-ktM1L.jpg","bottle","Food"
"コーヒー","こーひー","kōhī","koːçiː","起きて最初にすることは、コーヒーを淹れることだ。","","https://static6.depositphotos.com/1064045/647/i/950/depositphotos_6471895-stock-photo-cup-of-cofee.jpg","coffee","Beverages"
"夢","ゆめ","yume","ju͍me","小学生の娘は5歳のときからクラシックバレエを習っている。夢はバレリーナになることだそうだ。","","https://static.wikia.nocookie.net/dream_team/images/8/88/Dream_rebrand.jpeg/revision/latest?cb=20250427034429","dream","Home"
"リンゴ","りんご","ringo","ɽĩŋgo","毎年冬になると、青森にいる友人から、季節の便りとともに、真っ赤なリンゴが１箱送られて来る。","","https://www.applesfromny.com/wp-content/uploads/2020/06/SnapdragonNEW.png","apple","Food"
"下","した","shita","ɕi̥ta","横転したトラックの下なんよ","","https://static.wikia.nocookie.net/gravityfalls/images/b/b1/S1e14_pit.png/revision/latest?cb=20130305194951","bottom","Directions"
"冷たい","つめたい","tsumetai","tsu͍metai","入社して初めてのプレゼンテーションの直前、緊張のあまり、私の額には冷たい汗が浮いてきた。","","https://www.bhf.org.uk/-/media/images/information-support/heart-matters/2021/november-2021/research/cold-weather-and-your-heart/thermometer_620x400-ss-no-exp.jpg?rev=80c0bcfbca9b4067a1900507705a70c9","cold","Adjectives"
"ドレス","どれす","doresu","doꜜɽesu͍","赤いドレスは彼女に似合った。","","https://media.wired.com/photos/59327b99a3126458449954cf/3:2/w_2560%2Cc_limit/Untitled-12.jpg","dress","Clothing"
"四月","しがつ","shigatsu","ɕigatsu","新学年は日本では４月に始まる。","","https://static.wikia.nocookie.net/tmnt2012series/images/8/80/April2.png/revision/latest?cb=20131110022421","April","Months"
"箱","はこ","hako","hako","毎年冬になると、青森にいる友人から、季節の便りとともに、真っ赤なリンゴが１箱送られて来","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLspP8HNKi1dnxSxW_82I35S7BPJK-1M2Hfg&s","box","Home"
"色","いろ","iro","í.ɾò̞","国旗に用いられる赤の色の意味は、太陽、勇気、国民の血など、国によって様々である。","","https://www.w3schools.com/colors/img_colormap.gif","color","Color"
"飲む","のむ","nomu","noꜜmu","緑茶には体にいい成分がたくさん含まれているので、健康のために毎日飲んでいる。","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPHS5NC10H0sBdpa9TTYXREf_xMVuNZ_cxmw&s","drink","Verbs"
"腕","うで","ude","u͍de","病院では、腕が動かないように固定する道具を使って、子どもの採血をすることがある。","","https://cdn.prod.website-files.com/577065f4e06b550b0c190c5c/577065f4e06b550b0c191120_shutterstock_367067165%20copy.jpg","arm","Body"
"男の子","おとこの こ","otokonoko","otokonoko","教師からテストが返却され、0点であったことがわかった男の子は、恥ずかしそうに顔を赤らめてうつむいた。","","https://www.imom.com/wp-content/uploads/2018/11/tween-boys-scaled.jpeg","boy","People"
"コンピュ ーター","こんぴゅ ーたー","konpyūtā","kõmpʲu͍ːtaː","ウイルス対策ソフトを適切に使って、コンピューターへのウイルスの侵入を防がねばならない。","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUqn_KDHQGVj2oI9DnYXod_z3WOufeXeneuQ&s","computer","Electronics"
"運転する","うんてん する","unten suru","ũ͍ntẽɴ su͍ꜜɽu","車を運転していたら何か小さい物が飛んできて、フロントガラスにひびが入ってしまった","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSESCvxq1VHz_keb8vmpfGSfAzoJ5UQKrd1aA&s","drive","Verbs"
"軍","ぐん","gun","gũ͍ꜜɴ","デモが激化したため陸軍の司令官は「軍隊が出動する可能性がある」とデモ隊に警告した。","","https://api.army.mil/e2/c/images/2025/09/11/d0c00149/size1.jpg","army","Job"
"脳","脳","nō","noꜜː","朝起きたらまずカーテンを開けて日の光を浴び、脳と体を目覚めさせる","","https://static.scientificamerican.com/sciam/cache/file/41335620-DE7F-4038-BAE5A6DABC608C12_source.jpg?crop=16%3A9%2Csmart&w=1920","brain","Body"
"子音","しいん","shiin","ɕiːɴ","美土里は時々子音が落ちる。","","https://www.95percentgroup.com/wp-content/uploads/2021/09/image9-768x576.png","consonant","Misc Nouns"
"薬","くすり","kusuri","ku͍ ̥su͍ɽi","風邪を早く治そうと、病院で薬を処方してもらって飲んだが、一向に治らない。","","https://boldhealthinc.com/wp-content/uploads/2022/09/Prescription-Drug-Abuse-1200x670.png","drug","Society"
"芸術","げいじゅつ","geijutsu","geːdʑu͍tsu","ここ数年は芸術鑑賞が趣味で、暇を見つけては美術館に足を運んでいる。","","https://api.nga.gov/iiif/54ee6643-e0f9-4b92-a1d2-441e5108724d/0,0,21687,28273/950,/0/default.jpg","art","Art"
"パン","ぱん","pan","paɴ","クルミを使った新商品のパンはお客さんにも好評で、連日売れ行きがいい。","","https://i.ytimg.com/vi/hYuc9kW2OfA/maxresdefault.jpg","bread","Food"
"契約","けいやく","keiyaku","ke↓ːjaku","詐欺または強迫による契約、つまり、騙されたり、脅されたりしてさせられた契約は、取り消しの対象となる。","","https://www.dottedsign.com/blog/wp-content/uploads/2023/09/scott-graham-OQMZwNd3ThU-unsplash-scaled.jpg","contract","Society"
"乾いた","かわいた","kawai ta","kaw͍a↓i ta","コンタクトすると目が乾いた感じになって、目が赤くなります。","","https://cpo.noaa.gov/wp-content/uploads/elementor/thumbs/img-desert-279862_1920-1-qyxx2y9f7acejr2ki9sbzy2i6dj295bplkdgtj7kd0.jpg","dry","Adjectives"
"芸術家","げいじゅ つか","geijutsu ka","ge↓ːdʑu͍tsu͍ ka","人は誰でも芸術家になれるわけではない。","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4NFfvQT2ozoooP64_WpM-S39UHVk-a1k7gw&s","artist","Job"
"壊す","こわす","kowasu","kow͍aꜜsu͍","既成概念を壊そう！","","https://newayscenter.com/wp-content/uploads/2015/07/break-free-from-being-too-busy.jpg","break","Verbs"
"料理する","りょうりす る","ryōri suru","rjoꜜɽʲi suɽu","母はまだディナーを料理していません","","https://www.health.com/thmb/ob9ZfaNd3zX0KBk0rjp5AAYfuSQ=/4000x0/filters:no_upscale():max_bytes(150000):strip_icc()/Health-GettyImages-1477430966-506a007e48744d5488a6ee1c0b729134.jpg","cook","Verbs"
"埃","ほこり","hokori","hokoɽi","長い間本棚の掃除を怠けていたら、すっかり埃がたまってしまった。","","https://www.coit.com/sites/default/files/styles/open_graph/public/media/2024-07/what_is_dust.png?h=e5335d09&itok=ukxrSora","dust","Materials"
"攻撃","こうげき","kōgeki","koːgekʲi","試合終了間際、相手チームの意表を突く攻撃に、我々はなすすべもないまま1点を取られてしまった。","","https://static.wikia.nocookie.net/dragonball/images/9/98/Big_Bang_Kamehameha.png/revision/latest?cb=20240924184809","attack","Society"
"朝食","ちょうし ょく","chōshoku ","tɕoːɕoku͍","朝食は、ジャムをぬったトーストとコーヒーに決めている。","","https://potatorolls.com/wp-content/uploads/Lumberjack-Breakfast2.jpg","breakfast","Food"
"八月","はちがつ","hachigatsu","hatɕigatsu","私達の先生は８月に外国から帰ってきます。","","https://ellechapmanblog.wordpress.com/wp-content/uploads/2014/08/wpid-8monthspink.png","August","Months"
"橋","はし","hashi","haɕi↓","主人公は橋の上から身を投げ、自ら命を絶った。","","https://res.cloudinary.com/aenetworks/image/upload/c_fill,w_1200,h_630,g_auto/dpr_auto/f_auto/q_auto:eco/v1/topic-golden-gate-bridge-gettyimages-177770941","bridge","Location"
"銅","どう","dō / dou","doꜜː","銅も銀も金属である。","","https://cdn.britannica.com/65/157765-050-5EB5D872/cables-copper-conductivity-industry.jpg","copper","Materials"
"地球","ちきゅう","chikyuu","tɕi̥kʲu͍ː","一日に2回、月が地球に最も近付いた時間に、海は満潮となる。","","https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Blue_Marble%2C_AS17-148-22727.jpg/1200px-The_Blue_Marble%2C_AS17-148-22727.jpg","Earth","Nature"
"作家","さっか","sakka","sakka","今年の文学賞候補には、史上最年少の新人作家の名前が挙がっている。","","https://miro.medium.com/v2/0*5bjkLBf1VvAiMwhp","author","Job"
"兄","あに","ani","aꜜnʲi","私には、5つ上の兄がいる。","","https://media.istockphoto.com/id/937920484/photo/older-brother-on-the-sofa-hugging-younger-brother.jpg?s=612x612&w=0&k=20&c=FKJR3oEQ3vdPAZ230E91eO4y3XWMkir-tl43fgXvD-o=","brother","People"
"トウモロ コシ","とうもろ こし","tōmorokoshi","tōmorokoshi","今年のトウモロコシの収穫は素晴らしい。","","https://chefsmandala.com/wp-content/uploads/2018/03/corn.jpg","corn","Food"
"東","ひがし","higashi","çigaɕi","山の東側を進む登山コースは、歩きやすく整備されているので、初心者には最適だ。","","https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Eastcoastmapallstates.svg/250px-Eastcoastmapallstates.svg.png","east","Directions"
"赤ちゃん","あかちゃ ん","akachan","aꜜkatɕaɴ","赤ちゃんが泣いている。お腹が空いたんだろうか。","","https://assets.clevelandclinic.org/transform/LargeFeatureImage/8f36d005-c359-4943-941f-84c8f8105f20/baby-sleeping-mouth-open-1017721326","baby","People"
"茶色","ちゃいろ","chairo","tɕaiɽo","りんごや桃は切り口が茶色く変色しやすい。薄い塩水につけるかレモン汁をかけるなどすると変色を防げる。","","https://colorcodes.imgix.net/2TUswH5uKjgdc0kDxU6fOc/1ff23f8dec867aa7a84016172ef07640/dark-brown-color.png","brown","Color"
"角","かど","kado","kaꜜku͍","私の両親の家は小さなものだが、戦前に建てられた古民家で、この一角では際立っている。","","https://www.fillingthejars.com/wp-content/uploads/2022/03/corner-space-ideas-for-organizing-a-small-home.jpg","corner","Math/Measurements"
"食べる","たべる","taberu","tabeꜜɽu͍","旅行の楽しみは、何といってもやはり、その土地の名物料理を食べることだろう。","","https://cdn.atriumhealth.org/dailydose/-/media/daily-dose-blog/featured-images/dogeating.jpg?mw=1024&rev=3d374457e90f4c9d814f8739a26455f6&hash=9AD4DCE52825449A70E9B59F1C0A18E8","eat","Verbs"
"背中","せなか","senaka","senaka","先生は私の背中をぽんとたたいた。","","https://images.squarespace-cdn.com/content/v1/554a9ccbe4b08492a2085524/1484660674170-04IYXO2CV2H2N2VKEUAT/back","back","Body"
"建てる","たてる","tateru","tateꜜɽu","森からすぐ近いところに私は家を建てた。","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdzlQa2Utbpfnjy85R1ujjuDe5TP7DE2YuiQ&s","build","Verbs"
"数える","かぞえる","kazoeru","kazoeꜜɽu","息子はまだ数を数えられない。","","https://www.thoughtco.com/thmb/FSaysVT53kn0TZ35vm2JxN_ZB_g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/close-up-of-human-hand-counting-against-white-background-888173868-5b87046f4cedfd00252469c0.jpg","count","Verbs"
"端","はし","hashi","haɕi","鈴木教授の研究チームは、最先端の医療機器開発に取り組んでいる。","","https://virtualizationreview.com/-/media/ecg/virtualizationreview/images/introimages2017/cliffsedge.gif","edge","Math/Measurements"
"後","うしろ","ushiro","u͍ɕiɽo","インフルエンザの予防接種をした直後から、体がだるくなって微熱が出てきた。","","https://www.shutterstock.com/image-vector/arrow-back-vector-icon-direction-260nw-1638337234.jpg","back","Directions"
"ビル","びる","biru","bʲiɽu͍","私の会社が入っているビルは、上のほうの階からは富士山が見える。","","https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/WilderBuildingSummerSolstice.jpg/960px-WilderBuildingSummerSolstice.jpg","building","Location"
"国","くに","kuni","ku͍nʲi","自国に比べ、職場における１日の拘束時間が長いと感じる外国人労働者は多い。","","https://www.nationsonline.org/gallery/World/World-Flag-map-Nell.jpg","country","Location"
"卵","たまご","tamago","tamaꜜgo","うちの子どもは、ごはんの上に鶏そぼろと炒り卵をのせたお弁当が好きだ。","","https://static01.nyt.com/images/2019/02/05/world/05egg/15xp-egg-promo-superJumbo-v2.jpg","egg","Food"
"悪い","わるい","warui","w͍aɽu͍ꜜi","マンガを読みながらご飯を食べていたら、母に行儀が悪いと叱られた。","","https://churchlifejournal.nd.edu/assets/515222/1200x/1900px_ozymandias_breaking_bad.jpg","bad","Adjectives"
"燃やす","もやす","moyasu","mojasu","石炭や石油やガスを燃やすと、様々なガスが発生する。","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPU8FO83HNN3ZRq3sGT2-b4ZLC7mTSUzTpmQ&s","burn","Verbs"
"裁判所","さいばん しょ","saibansho","saibaɴɕo","被告は上級裁判所に控訴するだろう。","","https://www.cityofmoore.com/sites/default/files/styles/1200x500a/public/images/featured/city-moore-municipal-court-2.jpg?itok=3KO51BfI","court","Location"
"八","はち","hachi","hatɕi","夜の八時です。","","https://res.cloudinary.com/jerrick/image/upload/c_scale,f_jpg,q_auto/64bcd87c254580001d10b8c9.png","eight","Numbers"
"袋","ふくろ","fukuro","ɸu͍ ̥ku͍ɽo","麻の袋は通気性が良く丈夫なため、コーヒーの豆を出荷する際に使われている。","","https://totebagfactory.com/cdn/shop/files/red-iconic-large-shopping-bag.jpg?v=1747157942&width=1214","bag","Home"
"バス","ばす","basu","baꜜsu","朝、子どもたちをスクールバスに乗せた後、近所のお母さんたちが井戸端会議に花を咲かせている。","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSH9jnsVheCc2zv9CCkwv6XZXUAMY4AdvGSWQ&s","bus","Transportation"
"牛","うし","ushi","u͍ɕi","地方をドライブしていると、「牛の横断注意」「カニ注意」など珍しい道路標識を見かけることがある。","","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Cow_female_black_white.jpg/1200px-Cow_female_black_white.jpg","cow","Animal"
"十八","じゅうは ち","jū hachi","dʑu͍ː hatɕi","私は十八歳で酒の味を覚えた。","","https://cdn-icons-png.flaticon.com/512/12329/12329687.png","eighteen","Numbers"
"ボール","ぼーる","bōru","boꜜːɽu","投手の投げたボールが打者の足に当たった。","","https://www.redballoontoystore.com/cdn/shop/products/Playground-Ball-OutdoorActive-Schylling.jpg?v=1743763735","ball","Society"
"買う","かう","kau","kau","おもちゃ売り場で、おもちゃを買ってほしいと泣きわめく子どもをお父さんが必死になだめていた。","","https://www.thoughtco.com/thmb/iDsKMHbHik23uhHVEffqt6jmNdM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/purchasing-58af78375f9b5860468cee92.jpg","buy","Verbs"
"観客","かんき ゃく","kankyaku","kaŋkʲaku","優勝をかけた試合で取った先制点に、観客は興奮し、歓声を上げた。","","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgjZZ7zQCnhKOW4E8krgnq3vpWCqVIOkHdgQ&s","crowd","People"
"八十","はちじゅう","hachi jū","jaʨi↓dʑu͍ː","四国八十八か所の遍路は、霊場を巡る祈りの旅である。","","https://media.istockphoto.com/id/1455331923/vector/happy-birthday-years-80-anniversary-of-the-birthday-candle-in-the-form-of-numbers-vector.jpg?s=612x612&w=0&k=20&c=_y_-MTdz1MnGc1e_9DOfTHWY9U8nogJZK6bLS2RLFx0=","eighty","Numbers"
"バナナ","ばなな","banana","baꜜnana","私はリンゴ以上にバナナが好きです。","","https://images.everydayhealth.com/images/diet-nutrition/bananas-nutrition-facts-1440x810.jpg?w=508","banana","Food"
"ケーキ","けーき","kēki","keꜜːkʲi","洋菓子店に頼んでおいた、娘の誕生祝いのケーキを受け取りに行った。","","https://www.onceuponachef.com/images/2012/11/Vanilla-Birthday-Cake-18-1200x1480.jpg","cake","Food"
"泣く","なく","naku","naku","年をとって涙もろくなり、感動するとすぐに泣いてしまう。","","https://www.languageoflistening.com/wp-content/uploads/2014/09/Crying_boy_blog.jpg","cry","Verbs"
"選挙","せんきょ","senkyo","sẽꜜŋkʲo","選挙を前に、野党各党は団結を図るべく、連日会合を開いている。","","https://media.cnn.com/api/v1/images/stellar/prod/200717182316-20200717-election-explainer-main.jpg?q=w_1600,h_900,x_0,y_0,c_fill","election","Society"
"バンド","ばんど","bando","baꜜndo","私はブラスバンドに入っています。弟もそうです。","","https://i.ytimg.com/vi/-zBGN9wLQ3I/maxresdefault.jpg","band","Art"
"呼ぶ","よぶ","yobu","jobu͍","クラス代表のリレー選手として私の名前が呼ばれたとき、みんなの視線が一気に集まり、私は顔が赤らむのを感じた。","","https://www.wikihow.com/images/thumb/5/5d/Call-Hong-Kong-Step-1-Version-2.jpg/v4-460px-Call-Hong-Kong-Step-1-Version-2.jpg","call","Verbs"
"コップ","こっぷ","koppu","koppu","彼女もコップを割った。","","https://www.webstaurantstore.com/images/products/large/395754/2462976.jpg","cup","Food"
"銀行","ぎんこう","ginkō","ĩŋkoː","一部の識者がいみじくも指摘していたように、その銀行が導入したオンラインの新システムには重大な欠陥があった。","","https://staticctf.ubisoft.com/J3yJr34U2pZ2Ieem48Dwy9uqj5PNUQTn/6ilgtuzucX7hEu2MvjhRtp/c7c7e63cff53c8b2192fdec68a736619/R6S_Maps_Bank_EXT.jpg","bank","Location"
"カメラ","かめら","kamera","kaꜜmeɽa","新しく買ったスマートフォンはデジタルカメラとしても高い性能を持っている。","","https://www.orionphotogroup.com/wp-content/uploads/2023/09/OPG-Blog-Best-Professional-Canon-Cameras-That-Should-Be-On-Every-Photographers-List-10-12-2023-scaled.jpg","camera","Electronics"
"曲げられ た","まげられ た","mage rare ta","mageɽaɽe ta","膝を曲げて、前を見て。","","https://www.hp.com/us-en/shop/app/assets/images/uploads/prod/HP%20E45c%20G5%20DQHD%20Curved%20Monitor%20with%2044.5-inch%20screen%20and%201800R%20curvature1724955224519170.png?imwidth=600&imdensity=1","curved","Adjectives"
"十一","じゅうい ち","jū ichi","dʑu͍ː itɕi","私達は全部で十一名です。","","https://cdn-icons-png.flaticon.com/512/9928/9928803.png","eleven","Numbers"
"バー","ばー","bā","baꜜː","二人の男はバーで飲んでいた。","","https://media.brutus.jp/wp-content/uploads/2022/06/ec0b1dd3fed07fbcb3943fe17d815ae2.jpg","bar","Location"
"キャンプ 場","きゃんぷじ ょう","kyanpu jō","kʲampu͍ dʑoː","キャンプ場に着いたとたん、子どもたちは一斉に森の中の探検へと駆け出して行った。","","https://www.novaparks.com/sites/default/files/styles/scale_1440/public/2025-03/PohickBayPark20240831-NP-03%20-%20web.jpg?itok=qaBo72Sq","camp","Location"
"切る","きる","kiru","kʲiꜜɽu","食パンを薄く切って軽く焼き、レタスやトマト、焼いたベーコンにゆで卵をはさんでサンドイッチを作った。","","https://images.cutco.com/learn/2018/sweet-potato-infograph-4-l.jpg","cut","Verbs"
"エネルギ ー","えねるぎ ー","enerugī","eneꜜɽu͍giː","日本のような小さな島国では石油等のエネルギー資源の多くを海外に依存せざるを得ない。","","https://www.abs-group.com/content/inline-images/Markets_We_Serve/Power/power-and-energy-1602x901.jpg","energy","Society"
"お手洗い","おてあら い","o tearai","oteaꜜrai","試験中、彼女は気分が悪くなったのでお手洗いにたたせてもらった。","","https://getcanopy.co/cdn/shop/articles/pexels-christa-grover-977018-1910472_a6eacbcd-2d05-4163-aea7-af448d9d7a95.jpg?v=1732249806","bathroom","Home"
"車","くるま","kuruma","ku͍ɽu͍ma","横断歩道を渡ろうとする人がいる時、車が止まらないのは法律違反である。","","https://i.abcnewsfe.com/a/f43853f3-9eaf-4048-9ae7-757332c5787e/mclaren-1-ht-gmh-240412_1712928561648_hpMain_16x9.jpg?w=1600","car","Transportation"
"踊る","おどる","odoru","odoɽu","少女は目を輝かせて踊った。","","https://d26oc3sg82pgk3.cloudfront.net/files/media/edit/image/56545/article_full%403x.jpg","dance","Verbs"
